,Frame Time (milliseconds),Frames Axes,Avg Grayscale Intensity of Circle1,Avg Grayscale Intensity of Circle2,Avg Grayscale Intensity of Circle3,Avg Grayscale Intensity of Circle4,Avg Grayscale Intensity of Circle5,Avg Grayscale Intensity of Circle6,Avg Grayscale Intensity of Circle7
0,0.0,0.0,149,150,191,158,199,193,167
1,10.0,300.0,152,151,193,157,200,196,168
2,20.0,600.0,153,151,194,157,202,196,169
3,30.0,900.0,153,152,194,157,202,196,169
4,40.0,1200.0,153,151,195,157,202,196,169
5,50.0,1500.0,153,151,195,157,202,196,169
6,60.0,1800.0,153,151,195,157,202,195,169
7,70.0,2100.0,153,151,194,156,202,195,168
8,80.0,2400.0,153,151,194,156,202,195,168
9,90.0,2700.0,153,151,194,156,202,195,168
10,100.0,3000.0,153,151,194,156,202,195,168
11,110.0,3300.0,153,151,194,156,201,195,168
12,120.0,3600.0,153,150,194,156,201,195,168
13,130.0,3900.0,152,150,194,156,202,195,168
14,140.0,4200.0,152,150,194,156,201,194,168
15,150.0,4500.0,152,150,194,156,201,194,167
16,160.0,4800.0,152,150,194,155,201,194,167
17,170.0,5100.0,151,149,193,155,201,194,167
18,180.0,5400.0,151,149,193,155,200,193,166
19,190.0,5700.0,151,149,193,155,200,193,166
20,200.0,6000.0,150,148,192,154,200,192,166
21,210.0,6300.0,150,148,192,154,199,192,165
22,220.0,6600.0,149,147,191,154,198,191,164
23,230.0,6900.0,149,147,190,153,198,190,164
24,240.0,7200.0,149,147,190,153,197,190,163
25,250.0,7500.0,148,146,189,153,197,189,163
26,260.0,7800.0,147,146,189,152,197,189,163
27,270.0,8100.0,147,146,189,152,196,189,162
28,280.0,8400.0,147,146,189,152,196,189,162
29,290.0,8700.0,147,145,188,152,196,188,162
30,300.0,9000.0,147,146,188,152,196,188,162
31,310.0,9300.0,147,145,188,152,196,188,162
32,320.0,9600.0,147,146,188,152,196,188,162
33,330.0,9900.0,147,145,188,152,196,188,162
34,340.0,10200.0,147,146,189,152,197,188,162
35,350.0,10500.0,147,146,189,152,197,189,163
36,360.0,10800.0,147,146,189,152,197,189,163
37,370.0,11100.0,147,146,189,153,197,189,163
38,380.0,11400.0,147,146,189,153,198,189,163
39,390.0,11700.0,147,146,189,153,198,189,163
40,400.0,12000.0,147,146,189,153,198,189,163
41,410.0,12300.0,147,146,189,153,198,189,163
42,420.0,12600.0,147,147,189,153,198,189,163
43,430.0,12900.0,147,146,189,153,198,189,164
44,440.0,13200.0,147,147,189,153,199,189,164
45,450.0,13500.0,146,147,188,153,199,188,164
46,460.0,13800.0,146,147,187,153,199,187,164
47,470.0,14100.0,145,147,186,153,199,187,164
48,480.0,14400.0,144,147,185,154,199,186,164
49,490.0,14700.0,144,147,185,154,199,185,164
50,500.0,15000.0,144,147,184,153,199,185,164
51,510.0,15300.0,143,147,183,153,199,184,164
52,520.0,15600.0,143,147,183,153,199,184,164
53,530.0,15900.0,142,147,182,153,199,183,164
54,540.0,16200.0,142,147,182,153,199,183,164
55,550.0,16500.0,141,146,181,153,199,182,164
56,560.0,16800.0,141,146,181,153,199,182,164
57,570.0,17100.0,141,147,180,153,199,181,164
58,580.0,17400.0,140,146,180,153,199,181,163
59,590.0,17700.0,140,146,179,153,198,180,163
60,600.0,18000.0,140,146,179,153,198,180,163
61,610.0,18300.0,139,146,178,153,198,180,163
62,620.0,18600.0,138,146,177,153,198,179,163
63,630.0,18900.0,138,146,177,153,198,179,163
64,640.0,19200.0,138,146,176,153,198,179,163
65,650.0,19500.0,138,146,176,153,198,178,163
66,660.0,19800.0,137,146,175,153,198,177,163
67,670.0,20100.0,137,146,174,153,198,177,163
68,680.0,20400.0,136,145,174,153,197,177,163
69,690.0,20700.0,136,145,173,152,197,176,162
70,700.0,21000.0,136,145,173,152,197,176,162
71,710.0,21300.0,135,145,172,152,197,175,162
72,720.0,21600.0,135,145,172,152,198,175,162
73,730.0,21900.0,135,145,171,152,198,175,162
74,740.0,22200.0,134,145,171,152,198,175,162
75,750.0,22500.0,134,145,171,152,198,175,162
76,760.0,22800.0,134,145,170,152,199,175,163
77,770.0,23100.0,134,145,170,152,199,174,163
78,780.0,23400.0,133,146,170,153,199,175,163
79,790.0,23700.0,134,146,170,153,199,175,163
80,800.0,24000.0,134,146,170,153,199,175,163
81,810.0,24300.0,133,146,170,153,199,175,164
82,820.0,24600.0,133,146,170,153,200,175,164
83,830.0,24900.0,133,146,170,153,200,175,164
84,840.0,25200.0,133,146,170,154,200,175,164
85,850.0,25500.0,134,146,170,154,200,175,164
86,860.0,25800.0,143,147,181,154,199,183,164
87,870.0,26100.0,148,146,188,153,197,188,163
88,880.0,26400.0,149,146,186,152,194,187,161
89,890.0,26700.0,149,145,183,151,193,184,160
90,900.0,27000.0,139,147,164,151,192,176,158
91,910.0,27300.0,147,155,161,167,183,167,168
92,920.0,27600.0,134,148,151,161,174,157,163
93,930.0,27900.0,129,152,154,170,184,161,160
94,940.0,28200.0,136,160,160,180,188,169,173
95,950.0,28500.0,134,160,159,181,186,169,173
96,960.0,28800.0,128,160,159,182,186,168,174
97,970.0,29100.0,123,161,161,183,186,176,176
98,980.0,29400.0,121,161,162,183,186,176,177
99,990.0,29700.0,122,161,163,182,186,177,177
